generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
73,0.97015,0.6866666666666665,0.4848955222966839,590.17,0,0,1,2,1,0,88,8
74,0.9694,0.6733333333333333,0.44443793379626156,590.9,0,0,1,4,1,0,90,4
75,0.9218,0.68,0.5298599869745728,572.84,0,0,2,0,3,0,86,9
76,0.9731,0.6933333333333332,0.4348552799438651,590.78,0,0,1,0,1,0,88,10
77,0.99,0.69,0.3339327117203709,598.0,0,0,1,0,0,0,91,8
78,0.9435,0.6833333333333332,0.49435402357194597,581.98,0,0,2,0,2,0,87,9
79,0.92785,0.6833333333333332,0.6987202290234017,576.85,0,0,4,2,2,0,81,11
80,0.9569,0.6966666666666665,0.7314528229593057,587.52,0,0,3,4,1,0,79,13
81,0.9912,0.71,0.6207465701084841,598.2,0,0,1,4,0,0,81,14
82,0.9693,0.7,0.6967907437179919,588.98,0,0,2,4,1,0,80,13
83,0.9776,0.7366666666666666,0.6989983473483012,593.6,0,0,1,1,1,0,74,23
84,0.98265,0.7166666666666666,0.5640201022098592,596.53,0,0,1,0,1,0,81,17
85,0.9263,0.7,0.7437564357720841,575.6,0,0,3,0,4,0,76,17
86,0.90435,0.69,0.7626930836534314,568.25,1,0,1,0,6,0,76,16
87,0.85275,0.6466666666666666,0.7650656362943465,545.19,2,0,1,0,10,0,78,9
88,0.81655,0.6633333333333333,0.8781906686159721,529.39,2,0,2,0,9,0,73,14
89,0.8945,0.68,0.7658223378855844,558.46,3,0,1,0,4,0,77,15
90,0.8698,0.6733333333333333,0.8702928667907751,557.52,2,0,3,0,5,1,75,14
91,0.85995,0.67,0.9145384224293731,552.67,1,0,3,1,6,2,75,12
92,0.87195,0.6833333333333332,0.9778046588265672,555.63,3,0,3,0,5,1,69,19
93,0.8949,0.71,0.8588458657391336,561.08,1,0,1,0,5,1,71,21
94,0.90645,0.71,0.9188367626885182,570.85,2,0,1,1,2,3,71,20
95,0.89495,0.7233333333333333,0.8559501345611206,566.43,0,0,0,0,4,5,70,21
96,0.9288,0.71,0.7328639692265411,578.68,0,0,0,0,2,6,77,15
97,0.897,0.7066666666666666,0.814640794853244,565.54,0,0,0,0,3,8,74,15
98,0.89955,0.7233333333333333,0.8916131250240154,565.87,0,0,0,1,3,6,70,20
99,0.92555,0.73,0.9718561328595475,576.27,0,0,0,4,2,6,67,21
